,기업명,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
121,KX하이텍(2021/12),1049.0,87.0,49.0,1805.0,1043.0,258.0,110.0,13.0,357.0,8.25,4.7,5.36,3.51,73.13,101.0,18.09,1998.0,0.91,51628046.0
122,KX하이텍(2022/12),1564.0,123.0,145.0,1873.0,1139.0,276.0,138.0,-39.0,402.0,7.84,9.26,13.59,7.87,64.49,279.0,4.23,2046.0,0.58,55107517.0
123,KX하이텍(2023/12),1547.0,81.0,47.0,1951.0,1172.0,276.0,147.0,25.0,408.0,5.25,3.06,3.9,2.48,66.55,80.0,15.22,2123.0,0.58,55107517.0
124,KX하이텍(2024/12),1323.0,92.0,97.0,2085.0,1280.0,276.0,177.0,115.0,466.0,6.96,7.32,8.07,4.8,62.9,177.0,4.94,2324.0,0.38,55107517.0
144,인텍플러스(2020/12),563.0,70.0,92.0,526.0,307.0,63.0,-11.0,-13.0,97.0,12.47,16.4,35.22,19.47,71.57,733.0,21.41,2510.0,6.26,12612462.0
145,인텍플러스(2021/12),1197.0,275.0,226.0,1074.0,508.0,63.0,-8.0,-27.0,223.0,23.01,18.92,55.58,28.31,111.3,1787.0,18.16,4156.0,7.81,12697962.0
146,인텍플러스(2022/12),1188.0,194.0,163.0,1162.0,672.0,64.0,69.0,-16.0,229.0,16.29,13.75,27.69,14.61,72.98,1284.0,10.71,5469.0,2.51,12756962.0
147,인텍플러스(2023/12),748.0,-111.0,-108.0,1319.0,559.0,64.0,17.0,9.0,348.0,-14.83,-14.43,-17.54,-8.7,136.04,-844.0,-35.84123222748815,4519.0,6.69,12835962.0
148,인텍플러스(2024/12),839.0,-156.0,-119.0,1241.0,455.0,64.0,-73.0,-77.0,370.0,-18.58,-14.15,-23.42,-9.27,172.65,-923.0,-10.86673889490791,3671.0,2.73,12863962.0
152,유니트론텍(2020/12),2914.0,62.0,5.0,1623.0,554.0,60.0,-243.0,-293.0,700.0,2.15,0.18,3.2,0.38,192.93,103.0,55.46,3390.0,1.69,15138894.0
153,유니트론텍(2021/12),3784.0,176.0,52.0,2001.0,648.0,63.0,-302.0,-404.0,1006.0,4.65,1.36,14.77,2.84,208.67,528.0,9.88,3894.0,1.34,15744677.0
154,유니트론텍(2022/12),5250.0,309.0,135.0,2580.0,963.0,94.0,41.0,36.0,722.0,5.88,2.57,21.45,5.9,167.96,945.0,3.99,5002.0,0.75,18854715.0
