기업명,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
HLB이노베이션(2022/12),314.0,4.0,4.0,11.0,140.0,140.0,,923.0,349.0,574.0,574.0,,333.0,-11.0,-49.0,531.0,4.0,-15.0,323.0,1.28,44.42,38.55,21.43,60.71,80.44,333.0,8.9,864.0,3.43,0.0,0.0,0.0,66507231.0
HLB이노베이션(2023/12),206.0,-9.0,-9.0,-7.0,-8.0,-8.0,,922.0,351.0,571.0,571.0,,333.0,18.0,-287.0,-15.0,8.0,10.0,326.0,-4.56,-3.67,-1.32,-0.82,61.57,78.27,-11.0,,858.0,3.64,0.0,0.0,0.0,66507231.0
HLB이노베이션(2024/12),254.0,-119.0,-119.0,-123.0,-124.0,-123.0,0.0,2680.0,160.0,2520.0,2455.0,65.0,722.0,-79.0,-1410.0,1569.0,197.0,-276.0,61.0,-46.86,-48.79,,,6.36,220.87,-141.0,,1701.0,1.48,,,,144304123.0
HLB이노베이션(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLB이노베이션(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLB이노베이션(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네온테크(2020/12),391.0,14.0,14.0,-59.0,-48.0,-48.0,,617.0,333.0,284.0,284.0,,37.0,25.0,-44.0,8.0,9.0,16.0,202.0,3.65,-12.26,-21.1,-8.49,117.33,645.0,-132.0,,807.0,3.58,0.0,0.0,0.0,37207622.0
네온테크(2021/12),499.0,-29.0,-29.0,-51.0,-45.0,-45.0,,738.0,387.0,351.0,351.0,,40.0,-76.0,-5.0,69.0,15.0,-90.0,224.0,-5.81,-8.94,-14.05,-6.58,110.32,758.61,-115.0,,925.0,4.39,0.0,0.0,0.0,39922508.0
네온테크(2022/12),529.0,-38.0,-38.0,-48.0,-81.0,-80.0,0.0,905.0,455.0,451.0,450.0,0.0,42.0,-14.0,-14.0,28.0,8.0,-23.0,200.0,-7.11,-15.23,-20.03,-9.8,100.84,667.68,-194.0,,1124.0,2.97,0.0,0.0,0.0,41688607.0
네온테크(2023/12),868.0,22.0,22.0,-11.0,-34.0,-51.0,18.0,1646.0,1094.0,552.0,409.0,143.0,42.0,-56.0,101.0,111.0,68.0,-123.0,450.0,2.5,-3.88,-11.92,-2.63,198.3,543.86,-122.0,,1012.0,2.53,0.0,0.0,0.0,41713607.0
네온테크(2024/12),1045.0,36.0,36.0,17.0,3.0,-16.0,19.0,1425.0,831.0,595.0,434.0,160.0,43.0,-5.0,-172.0,94.0,60.0,-65.0,550.0,3.47,0.25,-3.88,0.17,139.61,580.27,-38.0,,1050.0,2.57,,,,43088918.0
네온테크(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네온테크(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네온테크(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
케이엔더블유(2020/12),279.0,-78.0,-78.0,-75.0,-99.0,-99.0,,761.0,325.0,436.0,436.0,,51.0,-18.0,41.0,182.0,13.0,-31.0,141.0,-27.99,-35.38,-25.59,-13.78,74.62,774.13,-1280.0,,4311.0,1.49,0.0,0.0,0.0,10261347.0
케이엔더블유(2021/12),718.0,77.0,77.0,87.0,10.0,10.0,,1554.0,976.0,579.0,579.0,,61.0,148.0,-676.0,480.0,91.0,57.0,592.0,10.75,1.42,2.01,0.88,168.65,877.25,87.0,177.31,4843.0,3.2,0.0,0.0,0.0,12135382.0
케이엔더블유(2022/12),996.0,153.0,153.0,113.0,181.0,181.0,,1428.0,643.0,785.0,785.0,,61.0,146.0,10.0,-157.0,82.0,64.0,445.0,15.35,18.14,26.51,12.12,82.0,1211.58,1489.0,5.44,6569.0,1.23,0.0,0.0,0.0,12135382.0
케이엔더블유(2023/12),954.0,52.0,52.0,27.0,21.0,21.0,,1518.0,267.0,1251.0,1251.0,,80.0,104.0,-47.0,92.0,72.0,32.0,112.0,5.47,2.15,2.02,1.39,21.35,1525.12,152.0,56.13,7883.0,1.08,,,0.0,16060028.0
